Subgroup_definition,n_groups,g2_MSE,g2_RCE,RCE_vs_g0,MSE_vs_g0
pre_conf_tercile,3,0.6233969025130743,0.12511100546658338,0.08483312436153341,0.05227504359823265
pre_conf_median,2,0.5732504435352588,0.11047542811792908,0.07019754701287911,0.0021285846204170955
pre_conf_quartile,4,0.6382774378061312,0.128080760659725,0.08780287955467504,0.06715557889128954
pre_conf_raw5,5,0.6586366449472164,0.12703964192732958,0.08676176082227961,0.08751478603237473
