Split,n_train,n_val,g0_MSE,g0_RCE,g1_MSE,g1_RCE,g2_MSE,g2_RCE,g3_MSE,g3_RCE,RCE_ranking
random stratified,19717,8451,0.5711218589148417,0.04027788110504997,0.5183095758894917,0.16175402254009968,0.6233969025130743,0.12511100546658338,0.5304313036584528,0.06974224863309367,g0 < g3 < g2 < g1
participant-disjoint,19698,8470,0.5638372975027539,0.040350693352958926,0.514644585150001,0.16079754676170233,0.6158438918620146,0.12386067684430069,0.5262843579078194,0.07019484044473774,g0 < g3 < g2 < g1
item-disjoint,19097,9071,0.49215974105472365,0.035281123191237704,0.4417576202750055,0.1622564588739907,0.5408072023103202,0.12079492441312643,0.4543711521365422,0.06255276428886188,g0 < g3 < g2 < g1
