Policy,plugin_RCE,participant_jackknife_RCE,jackknife_SE
g0,0.11367347565170212,0.11350918273784316,0.005298001028041056
g1,0.10379233341475697,0.1037577628168691,0.004670357862255646
g2,0.00900940438281256,0.008694742866346417,0.0034472532851430476
g3,0.047029521145675005,0.04702984703062185,0.005124003300699369
