Policy,mean_display,sd_display,mean_abs_shift_from_c,p05_display,p50_display,p95_display,pct_at_0,pct_at_1,pct_at_0_or_1,pct_at_015_or_085
g0,0.6547177481703783,0.2011309008400878,0.0,0.3183333333333333,0.656326530612245,0.9993749999999999,0.1538279493551059,4.839663945095255,4.993491894450361,0.0
g1,0.8391793602648072,0.25987759314887315,0.1998481545512122,0.2639999999999999,1.0,1.0,1.893267068985919,55.88687729262809,57.780144361614006,0.0
g2,0.7413657777109346,0.3385991684879336,0.23626579692108846,0.011306532663316583,0.9882352941176471,1.0,1.6211099278191932,12.720388119749144,14.341498047568335,0.0
g3,0.7484020354986498,0.19271860355113674,0.13282987214122047,0.2639999999999999,0.85,0.85,0.0,0.0,0.0,72.96177967104485
