Scenario,g2_MSE,g2_RCE,RCE_vs_g0,MSE_vs_g0,g2_better_RCE_than_g0
observed,0.6233969025130743,0.12511100546658338,0.08483312436153341,0.05227504359823265,False
10pct random subgroup noise,0.6150072530687337,0.13261690444914537,0.0923390233440954,0.04388539415389203,False
20pct random subgroup noise,0.6057917984861451,0.1410466285684265,0.10076874746337654,0.034669939571303376,False
30pct random subgroup noise,0.5985567431886054,0.1464152130075022,0.10613733190245224,0.027434884273763727,False
complete randomization,0.5472717647452402,0.20171809429001303,0.16144021318496304,-0.023850094169601488,False
all report low,0.4823264131040569,0.24050580097855997,0.20022791987351002,-0.0887954458107848,False
all report high,0.5025185646636481,0.18098358591647948,0.14070570481142952,-0.0686032942511936,False
