Policy,Team_MSE,RCE_model_based,Mean_predicted_reliance,Mean_display,Display_sd
raw confidence,0.5711218589148417,0.04027788110504997,0.5130578914611733,0.6547177481703783,0.2011309008400878
no confidence proxy,0.6151537197476427,0.16373292676656814,0.5441628524686706,0.5,0.0
coarse verbal proxy,0.5788604361870754,0.051266257910835084,0.5128936472454085,0.6376168500769138,0.21343653303489177
extremity compression,0.582748659065102,0.08709548172879207,0.5261716045914292,0.592830648902227,0.12067854050405269
thresholded high confidence,0.5786595897302714,0.04441209534763317,0.5247939751177794,0.6468919923746064,0.17992073431610583
bounded human-aware,0.5289077569122612,0.10263863778013779,0.5148108217503055,0.7768643278284648,0.22762038746743127
