Binning,Bins,g0_RCE_observed,g1_RCE_observed,g2_RCE_observed,g3_RCE_observed,Ranking
equal_width,5,0.10773876123927546,0.10379233341475697,0.00292605269702013,0.04702952114567499,g2 < g3 < g1 < g0
equal_width,10,0.11367347565170212,0.10379233341475697,0.00900940438281256,0.047029521145675005,g2 < g3 < g1 < g0
equal_width,15,0.11894384819546573,0.10379233341475702,0.011415773232476447,0.047029521145675005,g2 < g3 < g1 < g0
equal_width,20,0.11583154404817807,0.10379233341475705,0.014676090684079634,0.049277671518055996,g2 < g3 < g1 < g0
equal_mass,5,0.11096847838302858,0.09607203568783397,0.005112838015165365,0.032177448287008345,g2 < g3 < g1 < g0
equal_mass,10,0.1149849760840718,0.09607203568783401,0.007686829961158965,0.048722595507120034,g2 < g3 < g1 < g0
equal_mass,15,0.115332639366388,0.09940723713020133,0.011023402658567818,0.045866316872504156,g2 < g3 < g1 < g0
equal_mass,20,0.1149849760840718,0.1014362951879459,0.010733774262232439,0.04872259550712003,g2 < g3 < g1 < g0
