Case,n,g0_predicted_reliance,g0_MSE,g1_predicted_reliance,g1_MSE,g2_predicted_reliance,g2_MSE,g3_predicted_reliance,g3_MSE
human wrong / AI correct,1754,0.7455987563389922,0.70677945425676,0.8724576924224077,0.5421067315854787,0.6329524188300463,0.8809131984158173,0.8320274848969392,0.5856452902729764
human correct / AI wrong,907,0.5135431255248566,0.7446149970586863,0.5004297136699929,0.7335613410771832,0.4342478099915361,0.6557572531879106,0.5001195244907465,0.7309028987286816
both correct,4797,0.43084902789762375,0.19660639807536603,0.37943992307110636,0.17809279130635347,0.3716001721323072,0.17646739449415236,0.41084456053362944,0.1835738346173989
both wrong,993,0.4989986107188686,1.9822487140213594,0.5172325355778252,1.9231900930388537,0.2238566703783766,2.2980055922323905,0.5357938676215794,1.9253982822479423
high-conf human correct / AI wrong,288,0.48720641669761633,0.39707186802728733,0.4462210868010119,0.3710090844165307,0.25664169198309067,0.14190381176060268,0.442720549139129,0.35993738586414475
