Reliance_model,AUC,Brier,Log_loss,g0_MSE,g0_RCE,g1_MSE,g1_RCE,g2_MSE,g2_RCE,g3_MSE,g3_RCE,RCE_ranking,g2_beats_g0,g3_beats_g0
Logistic baseline,0.7005563753129881,0.22002830716594268,0.631915335373552,0.5711218589148417,0.04027788110504997,0.5183095758894917,0.16175402254009968,0.6233969025130743,0.12511100546658338,0.5304313036584528,0.06974224863309367,g0 < g3 < g2 < g1,False,False
Logistic + participant intercepts,0.8216493508328556,0.17274171687583909,0.5202860919156408,0.5908340789934242,0.038841510547163394,0.5448574790131337,0.1664212821678288,0.6274268330100408,0.13107042779946657,0.5571496242839913,0.07296549100095678,g0 < g3 < g2 < g1,False,False
Logistic + item intercepts,0.6974537167869277,0.22072774762991096,0.6334816541635638,0.5742151655354599,0.03999680937830178,0.5176294104702124,0.16053224412727451,0.6359169996168647,0.1242504032410496,0.530677305490318,0.06875798407082398,g0 < g3 < g2 < g1,False,False
Logistic + participant + item intercepts,0.820582068148196,0.17312026105643263,0.5212051615570347,0.5934133023648409,0.03862729229812365,0.5447226634714315,0.1664882850359577,0.641979001686499,0.1314383101530832,0.5581877383226567,0.07310766688232774,g0 < g3 < g2 < g1,False,False
Random forest,0.7881147676105428,0.1882237928620313,0.557733996147783,0.6018728310728289,0.03734061631093334,0.5846534249825243,0.17762740640457916,0.6300547358193087,0.14520138663787702,0.5835881888080209,0.07462616307327247,g0 < g3 < g2 < g1,False,False
Gradient boosted trees,0.7876623310357698,0.18767010298874887,0.5558958706855547,0.6039326903049934,0.037050484243575425,0.5836045178050142,0.17283104051584358,0.6319324217638522,0.14293619893070442,0.5840248287920371,0.07257557746487649,g0 < g3 < g2 < g1,False,False
